ResourceType      Locations    Name                    Zones    Restrictions
virtualMachines   centralus    Standard_B12ms          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B16als_v2      1,2,3    None
virtualMachines   centralus    Standard_B16as_v2       1,2,3    None
virtualMachines   centralus    Standard_B16ls_v2       1,2,3    None
virtualMachines   centralus    Standard_B16ms          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B16pls_v2      1,2,3    None
virtualMachines   centralus    Standard_B16ps_v2       1,2,3    None
virtualMachines   centralus    Standard_B16s_v2        1,2,3    None
virtualMachines   centralus    Standard_B1ls           1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B1ms           1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B1s            1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B20ms          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B2als_v2       1,2,3    None
virtualMachines   centralus    Standard_B2as_v2        1,2,3    None
virtualMachines   centralus    Standard_B2ats_v2       1,2,3    None
virtualMachines   centralus    Standard_B2ls_v2        1,2,3    None
virtualMachines   centralus    Standard_B2ms           1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B2pls_v2       1,2,3    None
virtualMachines   centralus    Standard_B2ps_v2        1,2,3    None
virtualMachines   centralus    Standard_B2pts_v2       1,2,3    None
virtualMachines   centralus    Standard_B2s            1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B2s_v2         1,2,3    None
virtualMachines   centralus    Standard_B2ts_v2        1,2,3    None
virtualMachines   centralus    Standard_B32als_v2      1,2,3    None
virtualMachines   centralus    Standard_B32as_v2       1,2,3    None
virtualMachines   centralus    Standard_B32ls_v2       1,2,3    None
virtualMachines   centralus    Standard_B32s_v2        1,2,3    None
virtualMachines   centralus    Standard_B4als_v2       1,2,3    None
virtualMachines   centralus    Standard_B4as_v2        1,2,3    None
virtualMachines   centralus    Standard_B4ls_v2        1,2,3    None
virtualMachines   centralus    Standard_B4ms           1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B4pls_v2       1,2,3    None
virtualMachines   centralus    Standard_B4ps_v2        1,2,3    None
virtualMachines   centralus    Standard_B4s_v2         1,2,3    None
virtualMachines   centralus    Standard_B8als_v2       1,2,3    None
virtualMachines   centralus    Standard_B8as_v2        1,2,3    None
virtualMachines   centralus    Standard_B8ls_v2        1,2,3    None
virtualMachines   centralus    Standard_B8ms           1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_B8pls_v2       1,2,3    None
virtualMachines   centralus    Standard_B8ps_v2        1,2,3    None
virtualMachines   centralus    Standard_B8s_v2         1,2,3    None
virtualMachines   centralus    Standard_D1             1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D11            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D11_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D11_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D12            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D12_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D12_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D13            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D13_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D13_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D14            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D14_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D14_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D15_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3
virtualMachines   centralus    Standard_D16ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16ds_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16d_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16lds_v5      1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D16ls_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D16pds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16plds_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16pls_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16ps_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16s_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16s_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D16_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D16_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D1_v2          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2             1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D2ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2as_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2a_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2ds_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2d_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2d_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2lds_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D2ls_v5        1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D2pds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2plds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2pls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2ps_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2s_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2s_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2s_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D2_v2          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2_v2_Promo    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D2_v3          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2_v4          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D2_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D3             1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D32ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32ds_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32d_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32lds_v5      1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D32ls_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D32pds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32plds_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32pls_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32ps_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32s_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32s_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D32_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D32_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D3_v2          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D3_v2_Promo    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D4             1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D48ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48ds_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48d_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48lds_v5      1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D48ls_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
