ResourceType      Locations    Name                    Zones    Restrictions
virtualMachines   centralus    Standard_D4_v2_Promo    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D4_v3          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4_v4          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D5_v2          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D5_v2_Promo    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_D64ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64ds_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64d_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64lds_v5      1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D64ls_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D64pds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64plds_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64pls_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64ps_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64s_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64s_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D64_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D64_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8as_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8a_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8ds_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8d_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8d_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8lds_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D8ls_v5        1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D8pds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8plds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8pls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8ps_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8s_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8s_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8s_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D8_v3          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8_v4          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D8_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D96ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D96as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D96as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D96a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D96ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D96d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D96lds_v5      1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D96ls_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D96s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D96_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_DC16ds_v3      1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC16s_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC1ds_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC1s_v3        1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC24ds_v3      1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC24s_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC2ds_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC2s_v3        1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC32ds_v3      1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC32s_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC48ds_v3      1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC48s_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC4ds_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC4s_v3        1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC8ds_v3       1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DC8s_v3        1        ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_DS1            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS11           1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS11-1_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS11_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS11_v2_Promo  1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS12           1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS12-1_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS12-2_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS12_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS12_v2_Promo  1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS13           1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS13-2_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS13-4_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS13_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS13_v2_Promo  1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS14           1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS14-4_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS14-8_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS14_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS14_v2_Promo  1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS15_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3
virtualMachines   centralus    Standard_DS1_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS2            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS2_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS2_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS3            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS3_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS3_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS4            1,2      ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS4_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS4_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_DS5_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_DS5_v2_Promo   1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
virtualMachines   centralus    Standard_E104ids_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E104id_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E104is_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E104i_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E112iads_v5    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E112ias_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E112ibds_v5    1,2,3    None
virtualMachines   centralus    Standard_E112ibs_v5     1,2,3    None
virtualMachines   centralus    Standard_E16-4ads_v5    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-4as_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-4as_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-4ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-4ds_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-4s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-4s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-4s_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-8ads_v5    1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-8as_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-8as_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-8ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-8ds_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16-8s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-8s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16-8s_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16bds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_E16bs_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_E16ds_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16d_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16pds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16ps_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16s_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16s_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E16_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E16_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20as_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20a_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20ds_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20d_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20pds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20ps_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20s_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20s_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E20_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E20_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2as_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E2as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2a_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E2bds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_E2bs_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2']
virtualMachines   centralus    Standard_E2ds_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E2ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2d_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E2d_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2pds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2ps_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2s_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E2s_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_E2s_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_E2_v3          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
